Participant,Phase,ShotNumber,SelectedTargetID,SelectedTargetPosition,CrosshairPosition,CrosshairRotation,LeftEyePosition,RightEyePosition,CombinedEyePosition,LeftEyeOpen,RightEyeOpen,XRPosition,XRRotation,Hit,Accuracy,DominantEyeForShot,LeftEyeDistanceFromRay,RightEyeDistanceFromRay,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,Calibration,11,Target 4,"(-4.80, 2.50, 10.88)","(-1.03, 1.02, 2.10)","(358.05, 336.27, 1.51)","(-0.82, 1.01, 1.43)","(-0.78, 1.01, 1.48)","(-0.80, 1.01, 1.46)",False,True,"(-0.80, 1.00, 1.48)","(5.87, 335.83, 7.91)",True,0.1832287,Right,0.07065701,0.01284422,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,12,Target 8,"(8.20, 2.50, 5.88)","(0.07, 1.03, 1.80)","(355.21, 62.63, 0.14)","(-0.78, 1.00, 1.50)","(-0.74, 1.01, 1.45)","(-0.76, 1.01, 1.47)",False,True,"(-0.68, 1.00, 1.47)","(1.70, 60.03, 7.50)",True,0.4755183,Right,0.1076878,0.0468674,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,13,Target 4,"(-4.80, 2.50, 10.88)","(-1.03, 1.02, 2.11)","(355.43, 335.38, 1.77)","(-0.81, 1.01, 1.45)","(-0.75, 1.01, 1.47)","(-0.78, 1.01, 1.46)",False,True,"(-0.80, 1.00, 1.50)","(5.22, 341.45, 3.00)",True,0.1576175,Right,0.0610505,0.01161535,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,14,Target 7,"(6.20, 2.50, 8.88)","(-0.15, 1.02, 2.05)","(354.72, 42.66, 0.36)","(-0.80, 1.00, 1.51)","(-0.76, 1.01, 1.46)","(-0.78, 1.01, 1.48)",False,True,"(-0.72, 1.00, 1.48)","(4.43, 44.77, 2.86)",True,0.5203391,Right,0.1072545,0.04852105,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,15,Target 5,"(-0.80, 2.50, 11.88)","(-0.74, 1.03, 2.22)","(354.69, 359.72, 0.31)","(-0.81, 1.01, 1.47)","(-0.74, 1.01, 1.47)","(-0.77, 1.01, 1.47)",False,True,"(-0.77, 1.00, 1.51)","(6.05, 2.89, 3.23)",True,0.1610976,Right,0.07273923,0.01252918,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,16,Target 5,"(-0.80, 2.50, 11.88)","(-0.74, 1.03, 2.22)","(355.05, 359.56, 0.32)","(-0.81, 1.01, 1.47)","(-0.74, 1.01, 1.47)","(-0.77, 1.01, 1.47)",False,True,"(-0.77, 1.00, 1.51)","(5.60, 2.87, 3.27)",True,0.1374984,Right,0.07276438,0.01070713,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,17,Target 1,"(-9.80, 2.50, 2.14)","(-1.40, 1.03, 1.53)","(354.97, 274.06, 1.30)","(-0.85, 1.01, 1.41)","(-0.83, 1.01, 1.47)","(-0.84, 1.01, 1.44)",False,True,"(-0.87, 1.01, 1.45)","(6.05, 284.82, 0.49)",True,0.2196034,Right,0.07430496,0.01505296,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,18,Target 6,"(3.20, 2.50, 10.88)","(-0.44, 1.04, 2.20)","(355.14, 23.80, 0.12)","(-0.81, 1.00, 1.50)","(-0.75, 1.01, 1.47)","(-0.78, 1.01, 1.48)",False,True,"(-0.78, 1.01, 1.50)","(0.11, 22.99, 7.14)",True,0.04218621,Right,0.06540786,0.003584929,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,19,Target 7,"(6.20, 2.50, 8.88)","(-0.18, 1.03, 2.06)","(355.41, 43.15, 1.33)","(-0.81, 1.00, 1.50)","(-0.75, 1.01, 1.47)","(-0.78, 1.01, 1.48)",False,True,"(-0.75, 1.00, 1.49)","(1.44, 40.76, 10.88)",True,0.2174801,Right,0.08092529,0.01930605,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Calibration,20,Target 2,"(-9.80, 2.50, 5.88)","(-1.40, 1.04, 1.77)","(355.03, 295.84, 2.29)","(-0.85, 1.01, 1.42)","(-0.82, 1.01, 1.47)","(-0.83, 1.01, 1.45)",False,True,"(-0.86, 1.03, 1.47)","(357.78, 298.98, 358.96)",True,0.2765023,Right,0.07980339,0.01944992,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,1,Target 5,"(-0.80, 2.50, 11.88)","(-0.71, 1.09, 2.21)","(354.69, 358.66, 359.88)","(-0.79, 1.07, 1.52)","(-0.72, 1.07, 1.52)","(-0.75, 1.07, 1.52)",False,True,"(-0.74, 1.07, 1.49)","(356.43, 1.61, 2.95)",False,0.6637568,Cyclopean,0.0806785,0.01650115,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,2,Target 6,"(3.20, 2.50, 10.88)","(-0.42, 1.07, 2.17)","(354.35, 21.48, 2.27)","(-0.79, 1.07, 1.52)","(-0.72, 1.07, 1.52)","(-0.75, 1.07, 1.52)",False,True,"(-0.73, 1.06, 1.49)","(0.32, 20.29, 4.28)",False,0.7607921,Cyclopean,0.08951263,0.03192217,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,3,Target 4,"(-4.80, 2.50, 10.88)","(-1.01, 1.07, 2.12)","(353.96, 336.37, 2.19)","(-0.80, 1.06, 1.45)","(-0.74, 1.06, 1.47)","(-0.77, 1.06, 1.46)",False,True,"(-0.77, 1.06, 1.48)","(2.45, 340.15, 5.20)",False,0.5354902,Cyclopean,0.07186756,0.01098259,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,4,Target 9,"(8.20, 2.50, 2.14)","(0.13, 1.07, 1.52)","(355.32, 86.90, 1.69)","(-0.76, 1.03, 1.51)","(-0.75, 1.04, 1.45)","(-0.75, 1.04, 1.48)",True,True,"(-0.73, 1.04, 1.49)","(357.81, 79.37, 8.36)",True,0.2980559,Cyclopean,0.06473546,0.001968813,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,5,Target 9,"(8.20, 2.50, 2.14)","(0.13, 1.06, 1.53)","(355.72, 86.23, 1.04)","(-0.76, 1.03, 1.51)","(-0.75, 1.04, 1.45)","(-0.75, 1.04, 1.48)",True,True,"(-0.73, 1.04, 1.49)","(358.26, 78.71, 8.31)",True,0.198676,Cyclopean,0.0534604,0.01112616,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,6,Target 8,"(8.20, 2.50, 5.88)","(0.02, 1.07, 1.83)","(356.17, 64.48, 0.67)","(-0.77, 1.04, 1.52)","(-0.75, 1.04, 1.46)","(-0.76, 1.04, 1.49)",False,True,"(-0.74, 1.04, 1.49)","(359.08, 65.76, 6.50)",True,0.3723844,Cyclopean,0.06806215,0.003881359,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,7,Target 1,"(-9.80, 2.50, 2.14)","(-1.42, 1.07, 1.51)","(355.38, 273.87, 1.30)","(-0.87, 1.05, 1.39)","(-0.84, 1.06, 1.45)","(-0.86, 1.06, 1.42)",False,True,"(-0.93, 1.05, 1.44)","(2.63, 287.04, 2.84)",False,0.5778494,Cyclopean,0.07020655,0.01344543,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,8,Target 4,"(-4.80, 2.50, 10.88)","(-1.10, 1.08, 2.11)","(356.24, 337.08, 1.35)","(-0.91, 1.04, 1.43)","(-0.86, 1.05, 1.47)","(-0.89, 1.05, 1.45)",False,True,"(-0.85, 1.05, 1.46)","(1.86, 336.78, 9.62)",False,0.8485221,Cyclopean,0.09381532,0.03113956,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,9,Target 2,"(-9.80, 2.50, 5.88)","(-1.44, 1.06, 1.72)","(355.66, 296.88, 1.07)","(-0.89, 1.05, 1.40)","(-0.85, 1.06, 1.45)","(-0.87, 1.06, 1.42)",False,True,"(-0.95, 1.03, 1.44)","(8.74, 302.88, 5.32)",True,0.2557697,Cyclopean,0.04196295,0.02870844,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,10,Target 6,"(3.20, 2.50, 10.88)","(-0.45, 1.07, 2.18)","(353.90, 23.52, 1.50)","(-0.85, 1.05, 1.47)","(-0.79, 1.05, 1.45)","(-0.82, 1.05, 1.46)",False,True,"(-0.78, 1.05, 1.47)","(1.09, 24.20, 5.09)",False,0.6968184,Cyclopean,0.09228143,0.02896891,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,11,Target 3,"(-7.80, 2.50, 8.88)","(-1.31, 1.06, 1.95)","(354.27, 317.14, 2.42)","(-0.87, 1.05, 1.41)","(-0.82, 1.06, 1.46)","(-0.84, 1.05, 1.44)",False,True,"(-0.90, 1.04, 1.47)","(4.51, 323.19, 1.68)",True,0.2695951,Cyclopean,0.0467298,0.02604228,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,12,Target 4,"(-4.80, 2.50, 10.88)","(-1.10, 1.06, 2.11)","(354.08, 337.07, 2.80)","(-0.87, 1.05, 1.41)","(-0.82, 1.06, 1.46)","(-0.84, 1.05, 1.44)",False,True,"(-0.86, 1.05, 1.47)","(5.08, 340.66, 4.12)",True,0.3707334,Cyclopean,0.05792229,0.01060925,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,13,Target 3,"(-7.80, 2.50, 8.88)","(-1.29, 1.06, 1.94)","(353.43, 317.05, 2.30)","(-0.87, 1.05, 1.41)","(-0.82, 1.06, 1.46)","(-0.84, 1.05, 1.44)",False,True,"(-0.89, 1.05, 1.46)","(4.20, 326.99, 3.67)",True,0.2578451,Cyclopean,0.04906071,0.01872447,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,14,Target 5,"(-0.80, 2.50, 11.88)","(-0.81, 1.07, 2.20)","(353.94, 0.60, 1.18)","(-0.87, 1.05, 1.41)","(-0.82, 1.06, 1.46)","(-0.84, 1.05, 1.44)",False,True,"(-0.84, 1.05, 1.46)","(1.72, 359.05, 6.98)",False,0.4153125,Cyclopean,0.05732535,0.01021419,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,15,Target 3,"(-7.80, 2.50, 8.88)","(-1.30, 1.07, 1.93)","(353.07, 315.89, 2.59)","(-0.87, 1.05, 1.41)","(-0.82, 1.06, 1.46)","(-0.84, 1.05, 1.44)",False,True,"(-0.88, 1.06, 1.43)","(355.78, 321.77, 5.22)",True,0.0419027,Cyclopean,0.03308422,0.03150891,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,16,Target 2,"(-9.80, 2.50, 5.88)","(-1.41, 1.06, 1.71)","(353.24, 296.56, 0.34)","(-0.87, 1.05, 1.41)","(-0.82, 1.06, 1.46)","(-0.84, 1.05, 1.44)",False,True,"(-0.93, 1.05, 1.43)","(0.13, 304.79, 7.06)",False,0.2065808,Cyclopean,0.02092186,0.04150601,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,17,Target 4,"(-4.80, 2.50, 10.88)","(-1.08, 1.07, 2.12)","(356.33, 338.04, 0.20)","(-0.91, 1.05, 1.41)","(-0.85, 1.06, 1.44)","(-0.88, 1.05, 1.43)",False,True,"(-0.84, 1.05, 1.47)","(2.46, 339.77, 5.91)",False,1.1274,Cyclopean,0.117862,0.05532739,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,18,Target 3,"(-7.80, 2.50, 8.88)","(-1.29, 1.07, 1.94)","(354.55, 316.57, 2.65)","(-0.91, 1.05, 1.41)","(-0.85, 1.06, 1.44)","(-0.88, 1.05, 1.43)",False,True,"(-0.88, 1.05, 1.45)","(2.94, 326.05, 3.66)",False,0.7278326,Cyclopean,0.0811346,0.02119916,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,19,Target 4,"(-4.80, 2.50, 10.88)","(-1.09, 1.07, 2.10)","(354.71, 336.34, 2.12)","(-0.91, 1.05, 1.41)","(-0.85, 1.06, 1.44)","(-0.88, 1.05, 1.43)",False,True,"(-0.85, 1.05, 1.45)","(0.86, 337.80, 5.97)",False,0.923953,Cyclopean,0.1005994,0.03861466,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Cyclopean,20,Target 7,"(6.20, 2.50, 8.88)","(-0.21, 1.07, 2.04)","(353.43, 44.23, 0.88)","(-0.87, 1.04, 1.47)","(-0.82, 1.05, 1.43)","(-0.84, 1.05, 1.45)",False,True,"(-0.79, 1.04, 1.47)","(358.39, 39.33, 7.63)",False,0.6296228,Cyclopean,0.090887,0.02821207,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,1,Target 4,"(-4.80, 2.50, 10.88)","(-1.08, 1.07, 2.13)","(354.10, 336.28, 1.56)","(-0.82, 1.04, 1.44)","(-0.77, 1.05, 1.46)","(-0.80, 1.05, 1.45)",False,True,"(-0.84, 1.06, 1.47)","(355.47, 340.73, 4.54)",True,0.3752797,Right,0.03596937,0.02879024,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,2,Target 1,"(-9.80, 2.50, 2.14)","(-1.57, 1.08, 1.49)","(353.95, 274.31, 1.11)","(-0.89, 1.05, 1.39)","(-0.87, 1.06, 1.45)","(-0.88, 1.05, 1.42)",False,True,"(-1.01, 1.06, 1.41)","(359.25, 281.30, 4.63)",True,0.2041026,Right,0.04570598,0.01739227,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,3,Target 9,"(8.20, 2.50, 2.14)","(0.21, 1.05, 1.47)","(353.30, 85.98, 0.12)","(-0.71, 1.03, 1.49)","(-0.69, 1.04, 1.43)","(-0.70, 1.03, 1.46)",False,True,"(-0.62, 1.02, 1.43)","(1.24, 80.40, 3.10)",True,0.4080524,Right,0.1032116,0.04660654,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,4,Target 4,"(-4.80, 2.50, 10.88)","(-1.08, 1.05, 2.15)","(354.10, 336.72, 1.64)","(-0.82, 1.04, 1.46)","(-0.76, 1.04, 1.48)","(-0.79, 1.04, 1.47)",False,True,"(-0.84, 1.03, 1.49)","(2.95, 341.18, 2.23)",True,0.4596108,Right,0.02842615,0.03626818,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,5,Target 4,"(-4.80, 2.50, 10.88)","(-1.08, 1.05, 2.15)","(354.73, 336.58, 1.45)","(-0.82, 1.04, 1.46)","(-0.76, 1.04, 1.48)","(-0.79, 1.04, 1.47)",False,True,"(-0.84, 1.03, 1.49)","(3.09, 341.47, 2.56)",True,0.4585368,Right,0.02888629,0.03621062,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,6,Target 2,"(-9.80, 2.50, 5.88)","(-1.35, 1.04, 1.74)","(354.71, 295.61, 359.96)","(-0.86, 1.02, 1.43)","(-0.82, 1.02, 1.48)","(-0.84, 1.02, 1.45)",False,True,"(-0.87, 1.03, 1.47)","(5.51, 304.65, 1.07)",True,0.03954826,Right,0.06500553,0.001326891,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,7,Target 7,"(6.20, 2.50, 8.88)","(-0.23, 1.06, 1.97)","(354.95, 42.04, 0.74)","(-0.72, 1.03, 1.55)","(-0.67, 1.04, 1.51)","(-0.69, 1.03, 1.53)",False,True,"(-0.68, 1.03, 1.53)","(10.02, 46.98, 8.07)",True,0.1049953,Right,0.07310291,0.007061632,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,8,Target 6,"(3.20, 2.50, 10.88)","(-0.43, 1.06, 2.09)","(354.28, 22.66, 0.69)","(-0.72, 1.03, 1.55)","(-0.67, 1.04, 1.51)","(-0.69, 1.03, 1.53)",False,True,"(-0.69, 1.03, 1.53)","(7.68, 29.68, 2.98)",True,0.04714109,Right,0.0603503,0.002283335,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,9,Target 6,"(3.20, 2.50, 10.88)","(-0.43, 1.05, 2.09)","(355.34, 22.10, 0.51)","(-0.72, 1.03, 1.55)","(-0.67, 1.04, 1.51)","(-0.69, 1.03, 1.53)",False,True,"(-0.70, 1.03, 1.53)","(9.02, 29.39, 3.68)",True,0.09561465,Right,0.05942183,0.006452626,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,10,Target 6,"(3.20, 2.50, 10.88)","(-0.43, 1.05, 2.09)","(355.31, 21.99, 0.65)","(-0.72, 1.03, 1.55)","(-0.67, 1.04, 1.51)","(-0.69, 1.03, 1.53)",False,True,"(-0.70, 1.03, 1.53)","(9.36, 29.32, 3.37)",True,0.1493979,Right,0.0583656,0.01006449,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,11,Target 1,"(-9.80, 2.50, 2.14)","(-1.45, 1.06, 1.52)","(354.89, 274.44, 358.81)","(-0.82, 1.03, 1.43)","(-0.80, 1.04, 1.49)","(-0.81, 1.04, 1.46)",False,True,"(-0.91, 1.04, 1.45)","(5.71, 281.34, 7.61)",True,0.2571052,Right,0.04320058,0.02005584,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,12,Target 8,"(8.20, 2.50, 5.88)","(-0.08, 1.05, 1.78)","(354.60, 63.57, 0.05)","(-0.65, 1.02, 1.53)","(-0.63, 1.03, 1.47)","(-0.64, 1.03, 1.50)",False,True,"(-0.67, 1.02, 1.52)","(11.25, 69.13, 9.68)",True,0.5486136,Right,0.02608504,0.03806457,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
1,Dominant,13,Target 4,"(-4.80, 2.50, 10.88)","(-1.08, 1.06, 2.17)","(355.53, 337.34, 1.73)","(-0.78, 1.04, 1.57)","(-0.72, 1.05, 1.59)","(-0.75, 1.04, 1.58)",False,True,"(-0.84, 1.03, 1.52)","(3.19, 338.16, 8.05)",True,1.473141,Right,0.04255657,0.1069085,1,20,male,I have used a VR device at least once previously,No visual impairment,Occasionally,Right,The second round felt frustrating as I was aiming but the shots weren't registering,No,Closing an eye seemed to help
